Mario Is Missing! (USA).zip|Mario Is Missing|马里奥失踪记
Swallowing the world 1.zip|Swallowing the world 1|进化之地1
Swallowing the world 2.zip|Swallowing the world 2|进化之地2
Swamp Thing (Europe).zip|Swamp Thing (Europe)|沼泽怪物（欧）
SWAT - Special Weapons and Tactics (Japan).zip|SWAT - Special Weapons and Tactics (Japan)|特種部隊
Sweet Home (Japan) (Beta).zip|Sweet Home (Japan) (Beta)|甜蜜家园
Sweet Home (Japan).zip|Sweet Home (Japan)|甜蜜家园（日）
Sword King (Chinese version).zip|Sword King (Chinese version)|剑王
Sword Master (Europe).zip|Sword Master (Europe)|剑之达人（欧）
Sword Master (Japan).zip|Sword Master (Japan)|剑之达人（日）
Swords and Serpents (Europe).zip|Swords and Serpents (Europe)|宝剑与毒蛇（欧）
Swords and Serpents (France).zip|Swords and Serpents (France)|宝剑与毒蛇（法）
Swords and Serpents (USA).zip|Swords and Serpents (USA)|宝剑与毒蛇（美）
Swordsman (Chinese).zip|Swordsman (Chinese)|剑客
Taboo - The Sixth Sense (USA).zip|Taboo - The Sixth Sense (USA)|禁忌-第六感觉（美）
Taboo - The Sixth Sense (USA) (Rev A).zip|Taboo - The Sixth Sense (USA) (Rev A)|禁忌-第六感觉
Tagin' Dragon (USA) (Unl).zip|Tagin' Dragon (USA) (Unl)|迷宫龙
Tag Team Pro-Wrestling (Japan).zip|Tag Team Pro-Wrestling (Japan)|组合摔跤?（日）
Tag Team Wrestling (USA).zip|Tag Team Wrestling (USA)|组合摔跤?
Tai Chi Skateboard Challenge II.zip|Tai Chi Skateboard Challenge II|太极滑板挑战赛II
Taito Basketball (Japan).zip|Taito Basketball (Japan)|太东篮球
Taito Chase H.Q. (Japan).zip|Taito Chase H.Q. (Japan)|追踪HQ
Taito Grand Prix - Eikou e no License (Japan).zip|Taito Grand Prix - Eikou e no License (Japan)|光荣大赛车
Taiyou no Yuusha - Fighbird (Japan).zip|Taiyou no Yuusha - Fighbird (Japan)|太阳的勇者?
Takahashi Meijin no Bouken-jima III (Japan).zip|Takahashi Meijin no Bouken-jima III (Japan)|冒险岛外传?3
Takahashi Meijin no Bouken-jima II (Japan).zip|Takahashi Meijin no Bouken-jima II (Japan)|冒险岛外传?2
Takahashi Meijin no Bouken-jima IV (Japan).zip|Takahashi Meijin no Bouken-jima IV (Japan)|冒险岛外传?4
Takahashi Meijin no Bouken-jima (Japan).zip|Takahashi Meijin no Bouken-jima (Japan)|高桥名人的冒险岛
Takahashi Meijin no Bugutte Honey (Japan).zip|Takahashi Meijin no Bugutte Honey (Japan)|冒险岛外传?
Takeda Shingen 2 (Japan).zip|Takeda Shingen 2 (Japan)|武田信玄2
Takeshi no Chousenjou (Japan).zip|Takeshi no Chousenjou (Japan)|北野武的挑战状
Takeshi no Sengoku Fuuunji (Japan) (Beta).zip|Takeshi no Sengoku Fuuunji (Japan) (Beta)|阿武的战国风云儿
Takeshi no Sengoku Fuuunji (Japan).zip|Takeshi no Sengoku Fuuunji (Japan)|阿武的战国风云儿（日）
TaleSpin (Europe).zip|TaleSpin (Europe)|航空小英雄（欧）
TaleSpin (USA).zip|TaleSpin (USA)|航空小英雄（美）
Tamura Koushou Mahjong Seminar (Japan).zip|Tamura Koushou Mahjong Seminar (Japan)|田村光昭的麻雀大会
Tanigawa Kouji no Shougi Shinan III (Japan).zip|Tanigawa Kouji no Shougi Shinan III (Japan)|谷川浩司的将棋指南3
Tanigawa Kouji no Shougi Shinan II (Japan).zip|Tanigawa Kouji no Shougi Shinan II (Japan)|谷川浩司的将棋指南2
Tank Fengyun (Chinese version).zip|Tank Fengyun (Chinese version)|坦克风云
Tank pioneer.zip|Tank pioneer|坦克大战
Tanque (Spain) (Gluk Video) (Unl).zip|Tanque (Spain) (Gluk Video) (Unl)|坦克
Tantei Jinguuji Saburou - Toki no Sugiyuku Mama ni... (Japan).zip|Tantei Jinguuji Saburou - Toki no Sugiyuku Mama ni... (Japan)|侦探神宫寺三郎-时间痕迹
Tantei Jinguuji Saburou - Yokohamakou Renzoku Satsujin Jiken (Japan).zip|Tantei Jinguuji Saburou - Yokohamakou Renzoku Satsujin Jiken (Japan)|侦探神宫寺三郎
Tao (Japan).zip|Tao (Japan)|道(日)
Target Renegade (USA).zip|Target Renegade (USA)|热血硬派目标
Taro's Quest (USA) (Proto).zip|Taro's Quest (USA) (Proto)|塔罗的冒险
Tasac (Asia) (Unl).zip|Tasac (Asia) (Unl)|香囊
Tashiro Masashi no Princess ga Ippai (Japan).zip|Tashiro Masashi no Princess ga Ippai (Japan)|田代的魔界冒险
Tatakae! Chou Robot Seimeitai Transformers - Convoy no Nazo (Japan).zip|Tatakae! Chou Robot Seimeitai Transformers - Convoy no Nazo (Japan)|变形金刚1-车队之谜
Tatakae!! Rahmen Man - Sakuretsu Choujin 102 Gei (Japan).zip|Tatakae!! Rahmen Man - Sakuretsu Choujin 102 Gei (Japan)|斗将拉面男-炸裂超人
Tatakai no Banka (Japan).zip|Tatakai no Banka (Japan)|斗者挽歌（日）
TC surfing design.zip|TC surfing design|TC冲浪计划
Tecmo Baseball (USA).zip|Tecmo Baseball (USA)|TECMO棒球
Tecmo Bowl (Japan).zip|Tecmo Bowl (Japan)|美式足球（日）
Tecmo Bowl (USA).zip|Tecmo Bowl (USA)|美式足球（美）
Tecmo Bowl (USA) (Rev A).zip|Tecmo Bowl (USA) (Rev A)|美式足球（美）(Rev A)
Tecmo Cup - Football Game (Europe).zip|Tecmo Cup - Football Game (Europe)|天使之翼（欧）
Tecmo Cup - Football Game (Spain).zip|Tecmo Cup - Football Game (Spain)|天使之翼（西）
Tecmo Cup - Soccer Game (USA).zip|Tecmo Cup - Soccer Game (USA)|天使之翼（美）
Tecmo NBA Basketball (USA).zip|Tecmo NBA Basketball (USA)|TecmoNBA篮球（美）
Tecmo NBA Basketball (USA) (Rev A).zip|Tecmo NBA Basketball (USA) (Rev A)|TecmoNBA篮球
Tecmo Super Bowl (Japan).zip|Tecmo Super Bowl (Japan)|超级板球（日）
Tecmo Super Bowl (USA) (Beta).zip|Tecmo Super Bowl (USA) (Beta)|超级板球
Tecmo Super Bowl (USA).zip|Tecmo Super Bowl (USA)|超级板球（美）
Tecmo World Cup Soccer (Japan).zip|Tecmo World Cup Soccer (Japan)|世界杯足球（日）
Tecmo World Wrestling (Europe).zip|Tecmo World Wrestling (Europe)|世界摔跤博士（欧）
Tecmo World Wrestling (USA).zip|Tecmo World Wrestling (USA)|世界摔跤博士（美）
Teenage Mutant Hero Turtles (Europe).zip|Teenage Mutant Hero Turtles (Europe)|忍者英雄龟
Teenage Mutant Hero Turtles II - The Arcade Game (Europe).zip|Teenage Mutant Hero Turtles II - The Arcade Game (Europe)|忍者英雄龟2
Teenage Mutant Ninja Turtle.zip|Teenage Mutant Ninja Turtle|忍者神龟
Teenage Mutant Ninja Turtles III - The Manhattan Project (USA).zip|Teenage Mutant Ninja Turtles III - The Manhattan Project (USA)|忍者神龟3曼哈顿计划（美）
Teenage Mutant Ninja Turtles II - The Arcade Game (Australia).zip|Teenage Mutant Ninja Turtles II - The Arcade Game (Australia)|忍者神龟2时空大冒险（澳）
Teenage Mutant Ninja Turtles II - The Arcade Game (Unknown) (Beta).zip|Teenage Mutant Ninja Turtles II - The Arcade Game (Unknown) (Beta)|忍者神龟2时空大冒险
Teenage Mutant Ninja Turtles II - The Arcade Game (USA).zip|Teenage Mutant Ninja Turtles II - The Arcade Game (USA)|忍者神龟2时空大冒险（美）
Teenage Mutant Ninja Turtles II - The Manhattan Project (Japan).zip|Teenage Mutant Ninja Turtles II - The Manhattan Project (Japan)|忍者神龟3曼哈顿计划(日)
Teenage Mutant Ninja Turtles (Italy).zip|Teenage Mutant Ninja Turtles (Italy)|忍者神龟（意）
Teenage Mutant Ninja Turtles (Japan).zip|Teenage Mutant Ninja Turtles (Japan)|忍者神龟（日）
Teenage Mutant Ninja Turtles - Tournament Fighters (USA).zip|Teenage Mutant Ninja Turtles - Tournament Fighters (USA)|激龟快打
Teenage Mutant Ninja Turtles (USA) (Beta).zip|Teenage Mutant Ninja Turtles (USA) (Beta)|忍者神龟
Tekumo Baseball.zip|Tekumo Baseball|特库摩棒球
Tekumo NBA Basketball.zip|Tekumo NBA Basketball|特库摩NBA篮球?
Tekumo NFL Super Rugby.zip|Tekumo NFL Super Rugby|特库摩橄榄球
Tekumo Super American Football.zip|Tekumo Super American Football|特库摩美式橄榄球
Tekumo World Cup (Chinese version).zip|Tekumo World Cup (Chinese version)|特库摩世界杯（汉）
Tenchi o Kurau II - Shokatsu Koumei Den (Japan).zip|Tenchi o Kurau II - Shokatsu Koumei Den (Japan)|吞食天地2（日）
Tenchi o Kurau II - Shokatsu Koumei Den (Japan) (Rev A).zip|Tenchi o Kurau II - Shokatsu Koumei Den (Japan) (Rev A)|吞食天地2
Tenchi o Kurau (Japan).zip|Tenchi o Kurau (Japan)|吞食天地（日）
Tenchi o Kurau (Japan) (Rev A).zip|Tenchi o Kurau (Japan) (Rev A)|吞食天地
Tengu eats the moon.zip|Tengu eats the moon|天狗吃月
Tenka no Goikenban - Mito Koumon (Japan).zip|Tenka no Goikenban - Mito Koumon (Japan)|水户黄门
Tennis [Chinese version].zip|Tennis [Chinese version]|网球（汉）
Tennis (Europe).zip|Tennis (Europe)|网球（欧）
Tennis (Japan- USA).zip|Tennis (Japan- USA)|网球（日）
Tennis (USA) (GameCube Edition).zip|Tennis (USA) (GameCube Edition)|网球（美）
Ten yards battle.zip|Ten yards battle|10码
Terao no Dosukoi Oozumou (Japan).zip|Terao no Dosukoi Oozumou (Japan)|寺尾大相扑
Terminator 2 (Japan).zip|Terminator 2 (Japan)|终结者2（日）
Terminator 2 - Judgment Day (Europe).zip|Terminator 2 - Judgment Day (Europe)|终结者2（欧）
Terminator 2 - Judgment Day (USA) (Beta).zip|Terminator 2 - Judgment Day (USA) (Beta)|终结者2
Terminator 2 - Judgment Day (USA).zip|Terminator 2 - Judgment Day (USA)|终结者2（美）
Terminator- The (USA- Europe).zip|Terminator- The (USA- Europe)|终结者
Terra Cresta (Japan).zip|Terra Cresta (Japan)|神鹰1号（日）
Terra Cresta (USA).zip|Terra Cresta (USA)|神鹰一号（美）
Tetrastar - The Fighter (Japan).zip|Tetrastar - The Fighter (Japan)|战斗之星
Tetris 2+ bomb block.zip|Tetris 2+ bomb block|炸弹方块2
Tetris 2 + Bombliss (Japan).zip|Tetris 2 + Bombliss (Japan)|炸弹方块2（日）
Tetris 2 + Bombliss (Japan) (Rev A).zip|Tetris 2 + Bombliss (Japan) (Rev A)|炸弹方块2（日）（rev A）
Tetris 2 (Europe).zip|Tetris 2 (Europe)|俄罗斯方块2（欧）
Tetris (Bulletproof) (Japan).zip|Tetris (Bulletproof) (Japan)|俄罗斯方块（日）
Tetris (Bulletproof) (Japan) (Rev A).zip|Tetris (Bulletproof) (Japan) (Rev A)|俄罗斯方块（日）(Rev A)
Tetris (Bulletproof) (Japan) (Rev B).zip|Tetris (Bulletproof) (Japan) (Rev B)|俄罗斯方块（日）(Rev B)
Tetris (Europe).zip|Tetris (Europe)|俄罗斯方块（欧）
Tetris Flash (Japan).zip|Tetris Flash (Japan)|俄罗斯方块
Tetris (USA).zip|Tetris (USA)|俄罗斯方块（美）
Tetsudou Ou - Famicom Boardgame (Japan).zip|Tetsudou Ou - Famicom Boardgame (Japan)|铁道王
Tetsuwan Atom (Japan).zip|Tetsuwan Atom (Japan)|臂阿童木
The Adventures of Jetson.zip|The Adventures of Jetson|杰森历险记
The devil is 2.zip|The devil is 2|恶魔法则2
The end of the century.zip|The end of the century|世界末日
The fate of the tile.zip|The fate of the tile|麻将宿命
The last star fighter.zip|The last star fighter|最后的星球斗士
The Milky Way under the alien.zip|The Milky Way under the alien|银河入侵
The mystery of Wang Jian.zip|The mystery of Wang Jian|王健之谜
The Simpsons.zip|The Simpsons|辛普森一家
Thexder (Japan).zip|Thexder (Japan)|变形战机
Thief Wuyou Weimen Tour.zip|Thief Wuyou Weimen Tour|女飞侠
Thomas the Tank Engine and Friends (USA) (Proto).zip|Thomas the Tank Engine and Friends (USA) (Proto)|火车头汤姆斯和朋友们
Three little pigs [Chinese version].zip|Three little pigs [Chinese version]|三只小猪（汉）
Three Stooges- The (USA).zip|Three Stooges- The (USA)|三个臭皮匠（美）
Thunder action.zip|Thunder action|雷霆行动
Thunderbird 1.zip|Thunderbird 1|雷鸟神机队
Thunderbirds (Japan).zip|Thunderbirds (Japan)|雷鸟神机队（日）
Thunderbirds (USA).zip|Thunderbirds (USA)|雷鸟神机队（美）
Thundercade (USA).zip|Thundercade (USA)|雷电节奏
Thunder & Lightning (USA).zip|Thunder & Lightning (USA)|与电砖块物语
thunder.zip|thunder|打雷
Thunder Warrior (Asia) (Unl).zip|Thunder Warrior (Asia) (Unl)|轰天至尊
Thunder Zone.zip|Thunder Zone|闪电区域
Tiandai Devil Adventure.zip|Tiandai Devil Adventure|天台魔鬼历险记
Tiger Cave Action (Chinese).zip|Tiger Cave Action (Chinese)|猛虎行动（汉）
Tiger Cave Action (Chinese version).zip|Tiger Cave Action (Chinese version)|猛虎行动
Tiger-Heli (Europe).zip|Tiger-Heli (Europe)|虎式直升机（欧）
Tiger-Heli (Europe) (Rev A).zip|Tiger-Heli (Europe) (Rev A)|虎式直升机
Tiger-Heli (Japan).zip|Tiger-Heli (Japan)|虎式直升机（日）
Tiger-Heli (USA).zip|Tiger-Heli (USA)|虎式直升机（美）
Tiles of Fate (USA) (Unl).zip|Tiles of Fate (USA) (Unl)|四川麻将-海滩篇
Time and space avenger.zip|Time and space avenger|百变大侦探
Time Diver Eon Man (USA) (Proto).zip|Time Diver Eon Man (USA) (Proto)|时间旅行者?
Time Lord (Europe).zip|Time Lord (Europe)|时空战士（欧）
Time Lord (USA).zip|Time Lord (USA)|时空战士（美）
Times of Lore (Japan).zip|Times of Lore (Japan)|时空勇士（日）
Times of Lore (USA).zip|Times of Lore (USA)|时空勇士（美）
Time warrior.zip|Time warrior|时间勇士
Time Zone (Japan).zip|Time Zone (Japan)|时区
Tiny Toon Adventures 2 - Montana Land e Youkoso (Japan).zip|Tiny Toon Adventures 2 - Montana Land e Youkoso (Japan)|兔宝宝历险记2（日）
Tiny Toon Adventures 2 - Trouble in Wackyland (Europe).zip|Tiny Toon Adventures 2 - Trouble in Wackyland (Europe)|兔宝宝历险记2（欧）
Tiny Toon Adventures Cartoon Workshop (USA).zip|Tiny Toon Adventures Cartoon Workshop (USA)|兔宝宝卡通创作室（美）
Tiny Toon Adventures (Europe).zip|Tiny Toon Adventures (Europe)|兔宝宝历险记（欧）
Tiny Toon Adventures (Japan).zip|Tiny Toon Adventures (Japan)|兔宝宝历险记（日）
Tiny Toon Adventures (USA).zip|Tiny Toon Adventures (USA)|兔宝宝历险记（美）
Tired hare.zip|Tired hare|可见
Titan (Japan).zip|Titan (Japan)|泰坦（日）
Titan marbles.zip|Titan marbles|泰坦勇士
Titan Warriors (USA) (Proto).zip|Titan Warriors (USA) (Proto)|泰坦勇士（美）
TM Network - Live in Power Bowl (Japan).zip|TM Network - Live in Power Bowl (Japan)|生活在权利碗里
Toki no Tabibito (Japan).zip|Toki no Tabibito (Japan)|时空旅人
Toki (USA) (Beta).zip|Toki (USA) (Beta)|东京(美版)(测试版)
Toki (USA).zip|Toki (USA)|东京(美版)
Tokkyuu Shirei Solbrain (Japan).zip|Tokkyuu Shirei Solbrain (Japan)|特救指令
Tolerance Shinobi.zip|Tolerance Shinobi|忍
Tomato country princess.zip|Tomato country princess|番茄公主的沙拉王国
Tomato killer.zip|Tomato killer|番茄杀手
Tombs & Treasure (USA).zip|Tombs & Treasure (USA)|太阳神殿
Tom & Jerry (Japan).zip|Tom & Jerry (Japan)|汤姆和杰瑞（日）
Tom & Jerry - The Ultimate Game of Cat and Mouse! (Europe).zip|Tom & Jerry - The Ultimate Game of Cat and Mouse! (Europe)|汤姆和杰瑞（欧）
Tom & Jerry - The Ultimate Game of Cat and Mouse! (USA).zip|Tom & Jerry - The Ultimate Game of Cat and Mouse! (USA)|汤姆和杰瑞（美）
Tom Sawyer Adventure.zip|Tom Sawyer Adventure|汤姆历险记
Tom Sawyer no Bouken (Japan).zip|Tom Sawyer no Bouken (Japan)|汤姆索亚的冒险
Top Gun - Dual Fighters (Japan).zip|Top Gun - Dual Fighters (Japan)|捍卫战士-双重战士
Top Gun (Europe).zip|Top Gun (Europe)|壮志凌云
Top Gun (Japan).zip|Top Gun (Japan)|壮志凌云（日）
Top Gun - The Second Mission (Europe).zip|Top Gun - The Second Mission (Europe)|壮志凌云（欧）
Top Gun (USA).zip|Top Gun (USA)|捍卫战士（美）
Top Gun (USA) (Rev A).zip|Top Gun (USA) (Rev A)|捍卫战士
Top Striker (Japan).zip|Top Striker (Japan)|顶级前锋
Total Funpak (Australia) (Unl).zip|Total Funpak (Australia) (Unl)|总功能
Totally Rad (Europe).zip|Totally Rad (Europe)|魔法总动员（欧）
Totally Rad (USA).zip|Totally Rad (USA)|魔法总动员（美）
Total Recall (USA).zip|Total Recall (USA)|全面回忆（美）
Totsuzen! Macchoman (Japan) (Beta).zip|Totsuzen! Macchoman (Japan) (Beta)|荒岛落难记
Totsuzen! Macchoman (Japan).zip|Totsuzen! Macchoman (Japan)|荒岛落难记（日）
Touhou Kenbun Roku (Japan).zip|Touhou Kenbun Roku (Japan)|东方见闻录
Toukon Club (Japan).zip|Toukon Club (Japan)|斗魂俱乐部
Toukyou Pachi-Slot Adventure (Japan) (Rev 0).zip|Toukyou Pachi-Slot Adventure (Japan) (Rev 0)|东京帕青哥大冒险（日）
Toukyou Pachi-Slot Adventure (Japan) (Rev A).zip|Toukyou Pachi-Slot Adventure (Japan) (Rev A)|东京帕青哥大冒险
Tour of India.zip|Tour of India|印度之旅
Tower of Radia (USA) (Proto).zip|Tower of Radia (USA) (Proto)|拉迪亚塔
Town & Country Surf Designs - Thrilla's Surfari (USA).zip|Town & Country Surf Designs - Thrilla's Surfari (USA)|城乡冲浪2
Town & Country Surf Designs - Wood & Water Rage (USA).zip|Town & Country Surf Designs - Wood & Water Rage (USA)|城乡冲浪:水木之怒?
Toxic Crusaders (USA).zip|Toxic Crusaders (USA)|禁毒卫士
Track & Field II (USA).zip|Track & Field II (USA)|田径2（美）
Track & Field II (USA) (Rev A).zip|Track & Field II (USA) (Rev A)|田径2
Track & Field in Barcelona (Europe).zip|Track & Field in Barcelona (Europe)|巴塞罗那奥运会
Triathron- The (Japan).zip|Triathron- The (Japan)|铁人三项竞赛（日）
Trog! (Europe).zip|Trog! (Europe)|特洛戈（欧）
Trog.zip|Trog|特洛戈
Trog! (USA).zip|Trog! (USA)|特洛戈（美）
Trojan (Europe).zip|Trojan (Europe)|特洛伊（欧）
Trojan (USA).zip|Trojan (USA)|特洛伊（美）
Troy.zip|Troy|特洛伊
True goddess reincarnation.zip|True goddess reincarnation|真女神转生
Tsuppari Oozumou (Japan).zip|Tsuppari Oozumou (Japan)|大相扑
Tsuppari Wars (Japan).zip|Tsuppari Wars (Japan)|极道战争
Tsuri Kichi Sanpei - Blue Marlin Hen (Japan).zip|Tsuri Kichi Sanpei - Blue Marlin Hen (Japan)|钓鱼迷三平
Tsuru Pika Hagemaru - Mezase! Tsuru Seko no Akashi (Japan).zip|Tsuru Pika Hagemaru - Mezase! Tsuru Seko no Akashi (Japan)|笨王子闯天关
Tubin.zip|Tubin|吐蕃
Turkey running.zip|Turkey running|土耳其跑步
TwinBee 3 - Poko Poko Daimaou (Japan).zip|TwinBee 3 - Poko Poko Daimaou (Japan)|兵蜂3（日）
TwinBee 3 - Poko Poko Daimaou (Japan) (Sample).zip|TwinBee 3 - Poko Poko Daimaou (Japan) (Sample)|兵蜂3
TwinBee (Japan).zip|TwinBee (Japan)|兵蜂
Twin Cobra (USA).zip|Twin Cobra (USA)|究极虎
Twin Eagle (Asia) (PAL) (Unl).zip|Twin Eagle (Asia) (PAL) (Unl)|双鹰（亚）
Twin Eagle (Japan).zip|Twin Eagle (Japan)|双鹰（日）
Twin Eagle (USA).zip|Twin Eagle (USA)|双鹰（美）
Two dribble NBA.zip|Two dribble NBA|两次运球
Uchuu Keibitai SDF (Japan).zip|Uchuu Keibitai SDF (Japan)|宇宙警备队
Uchuusen Cosmo Carrier (Japan).zip|Uchuusen Cosmo Carrier (Japan)|宇宙船
Uforce Power Games (USA) (Proto 1).zip|Uforce Power Games (USA) (Proto 1)|力量游戏1
Uforce Power Games (USA) (Proto 2) [b].zip|Uforce Power Games (USA) (Proto 2) [b]|力量游戏2
U-Force Test (USA).zip|U-Force Test (USA)|U力测试
Ufouria - The Saga (Europe) (Beta).zip|Ufouria - The Saga (Europe) (Beta)|迷糊蛋
Ufouria - The Saga (Europe).zip|Ufouria - The Saga (Europe)|迷糊蛋（欧）
Ultima - Quest of the Avatar (USA).zip|Ultima - Quest of the Avatar (USA)|创世纪4 圣者传奇
Ultima - Seija e no Michi (Japan).zip|Ultima - Seija e no Michi (Japan)|末日
Ultimate Air Combat (Europe) (En-Fr-De) (Beta).zip|Ultimate Air Combat (Europe) (En-Fr-De) (Beta)|空中战斗
Ultimate Air Combat (Europe) (En-Fr-De).zip|Ultimate Air Combat (Europe) (En-Fr-De)|空中战斗（欧）
Ultimate Air Combat (USA).zip|Ultimate Air Combat (USA)|空中战斗（美）
Ultimate Basketball (USA).zip|Ultimate Basketball (USA)|最终篮球（美）
Ultimate League Soccer (Italy) (Unl).zip|Ultimate League Soccer (Italy) (Unl)|终极联赛足球（意）
Ultimate League Soccer (USA) (Unl).zip|Ultimate League Soccer (USA) (Unl)|终极联赛足球（美）
Ultimate Stuntman- The (USA) (Unl).zip|Ultimate Stuntman- The (USA) (Unl)|最终特技人
Ultima - Warriors of Destiny (USA).zip|Ultima - Warriors of Destiny (USA)|创世纪:命运斗士
Ultraman Club 2 - Kaettekita Ultraman Club (Japan).zip|Ultraman Club 2 - Kaettekita Ultraman Club (Japan)|怪兽超人俱乐部2
Ultraman Club - Kaijuu Daikessen!! (Japan).zip|Ultraman Club - Kaijuu Daikessen!! (Japan)|奥特曼俱乐部?怪兽大决战
Uncanny X-Men- The (USA).zip|Uncanny X-Men- The (USA)|非凡X战警
Underground station.zip|Underground station|地下站台
Underworld Archmage.zip|Underworld Archmage|巫师
Uninvited (USA).zip|Uninvited (USA)|不速之客
